code,description,points
100,Fremdkörperentfernung aus der Cornea einschl. Anästhesie,20
1-8,siehe Anhang Tarife für allgemeine Vertragsfachärzte in der aktuell gültigen Version; Abschnitt I.Ordinationen und Visiten,
20-90,siehe Anhang Tarife für allgemeine Vertragsfachärzte in der aktuell gültigen Version Abschnitt 11.Allgemeine Sonderleistungen,
100-128,siehe auch Anhang Tarife für allgemeine Vertragsfachärzte in der aktuell gültigen Version Abschnitt III. Sonderleistungen aus Fachgebieten; Fachgebiet Augenheilkunde,
101,Tonometrie (nur verrechenbar bei; a) Glaukom oder Glaukomverdacht; b) konsiliarer Befundung),5
102,Gesichtfeldprüfung oder Skotometrie (nur verrechenbar bei; a) Glaukom oder Glaukomverdacht; b) Sehstörung bei Augenhintergrundveränderungen; c) neuroophtalmologischen Grenzfällen; d) konsiliarer Befundung, 25
103,Untersuchung mit dem Hornhautmikroskop(Spaltlampe),7
104,Bestimmung des Astigmatismus nach Javal bzw. Skiaskopie,8
105,Applanationstonometrie (nur verrechenbar bei; a) Glaukom oder Glaukomverdacht; b) kosiliarer Befundung) (nicht neben Pos.Ziff. 101 verrechenbar),15
106,Sondierung ( einschließlich eventueller Spülung) oder Spülung der Tränenwege einseitig in höchstens 10% der Fälle pro Arzt und Quartal verrechenbar (Ausnahme nur mit besonderer medizinischer Begründung),20
107,Operative Entfernung kleiner Geschwülste an den Lidern,40
108,Tarsusausschneidung bei einer tiefen Lidgeschwulst,60+RII
109,Ortoptischer oder pieoptischer Befund oder Behandlungssitzung. Die Pos.Ziff. 109 kann nur von jenen Vertragsfachärzten für Augenheilkunde verrechnet werden die von der Gebietskrankenkasse im Einvernehmen mit der Ärztekammer Vorarlberg ausdrücklich zur Verrechnung dieser Pos. Ziff. 11 ermächtigt wurden.,11
110,Untersuchung mit dem Kontaktglas (Goldmann-Glas) bei Glaukom und Erkrankungen der Netzhaut verrechenbar einmal im Quartal (mit Ausnahme bei besonderer Begründung),10
111,Schirmer'sche Probe,4
112,Fundus bei medizinisch erweiterter Pupille,10
122,Untersuchug mit dem Refraktometer,5
128,Oberflächenanästhesie nach jeder Methode,1
M7,Augenärztliche Untersuchung des Kindes durch praktische Vertragsärzte Vertragsärzte für Kinderheilkunde bzw. Vertragsfachärzte für Augenheilkunde,15
M8,Augenfachärztliche Untersuchung des Kindes durch Vertragsfachärzte für Augenheilkunde,20
